NO,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),층_2023,건축년도,도로명,도로명 주소,대지위치,동_주용도,동_세부용도,X,Y,표준신주소,최종 집값(만원)_2023,층_2019,최종 집값(만원)_2019,층_2020,최종 집값(만원)_2020,층_2021,최종 집값(만원)_2021,층_2022,최종 집값(만원)_2022,id,,
546,삼성동 롯데캐슬 클라쎄,월세,40.79,"3,000",225,17,2019,테헤란로63길 9,서울특별시 강남구 테헤란로63길 9,서울특별시 강남구 삼성동 141-10,업무시설," 업무시설(오피스텔 287호),근린생활시설(11호) ",127.0500513,37.5057513,서울특별시 강남구 테헤란로63길 9,53000,16,48000,17,52700,17,64200,16,53200,유지,,
567,삼성역 두산위브센티움,전세,23.29,"18,200",0,4,2003,테헤란로83길 14,서울특별시 강남구 테헤란로83길 14,서울특별시 강남구 삼성동 158-4,업무시설,업무시설(오피스텔)/근생,127.057855,37.5084899,서울특별시 강남구 테헤란로83길 14,18200,10,17200,6,17500,6,17000,2,15700,유지,,
571,삼성역 두산위브센티움,월세,27.06,"1,000",80,2,2003,테헤란로83길 14,서울특별시 강남구 테헤란로83길 14,서울특별시 강남구 삼성동 158-4,업무시설,업무시설(오피스텔)/근생,127.057855,37.5084899,서울특별시 강남구 테헤란로83길 14,18800,10,16200,4,21700,4,21800,6,28200,유지,,
582,삼성역 두산위브센티움,전세,27.88,"21,000",0,8,2003,테헤란로83길 14,서울특별시 강남구 테헤란로83길 14,서울특별시 강남구 삼성동 158-4,업무시설,업무시설(오피스텔)/근생,127.057855,37.5084899,서울특별시 강남구 테헤란로83길 14,21000,6,19600,7,25000,7,25000,7,20000,유지,,
590,아르헤 타워,전세,37.4,"38,000",0,7,2016,봉은사로 447,서울특별시 강남구 봉은사로 447,서울특별시 강남구 삼성동 44-16,업무시설," 오피스텔,도시형생활주택(원룸형),근린생활시설 ",127.048649,37.5119753,서울특별시 강남구 봉은사로 447,38000,4,38800,4,39600,7,45800,4,38500,유지,,
652,현대썬앤빌 삼성역,전세,17.25,"23,000",0,3,2019,테헤란로83길 19,서울특별시 강남구 테헤란로83길 19,서울특별시 강남구 삼성동 157-14,업무시설,업무시설(오피스텔),127.0572202,37.508602,서울특별시 강남구 테헤란로83길 19,23000,12,20700,2,25000,2,25100,10,16500,유지,,
654,현대썬앤빌 삼성역,월세,18.37,"1,000",89,3,2019,테헤란로83길 19,서울특별시 강남구 테헤란로83길 19,서울특별시 강남구 삼성동 157-14,업무시설,업무시설(오피스텔),127.0572202,37.508602,서울특별시 강남구 테헤란로83길 19,20800,9,25900,12,22600,5,27300,11,24600,유지,,
668,현대썬앤빌 삼성역,월세,21.51,"1,000",89,3,2019,테헤란로83길 19,서울특별시 강남구 테헤란로83길 19,서울특별시 강남구 삼성동 157-14,업무시설,업무시설(오피스텔),127.0572202,37.508602,서울특별시 강남구 테헤란로83길 19,20800,12,29100,15,26000,14,30300,6,27600,유지,,
681,현대썬앤빌 삼성역,전세,23.48,"30,000",0,14,2019,테헤란로83길 19,서울특별시 강남구 테헤란로83길 19,서울특별시 강남구 삼성동 157-14,업무시설,업무시설(오피스텔),127.0572202,37.508602,서울특별시 강남구 테헤란로83길 19,30000,11,31200,13,31500,14,34300,12,31900,유지,,
684,현대썬앤빌 삼성역,전세,26.24,"33,600",0,4,2019,테헤란로83길 19,서울특별시 강남구 테헤란로83길 19,서울특별시 강남구 삼성동 157-14,업무시설,업무시설(오피스텔),127.0572202,37.508602,서울특별시 강남구 테헤란로83길 19,33600,2,34500,14,38000,2,33300,2,32400,유지,,
686,현대썬앤빌 삼성역,월세,28.34,"5,000",112,13,2019,테헤란로83길 19,서울특별시 강남구 테헤란로83길 19,서울특별시 강남구 삼성동 157-14,업무시설,업무시설(오피스텔),127.0572202,37.508602,서울특별시 강남구 테헤란로83길 19,29900,15,38800,14,40100,13,31800,14,39400,유지,,
693,현대썬앤빌강남,전세,22.47,"25,350",0,6,2014,봉은사로 477,서울특별시 강남구 봉은사로 477,서울특별시 강남구 삼성동 51-4,업무시설,오피스텔및근린생활시설,127.0524922,37.5130784,서울특별시 강남구 봉은사로 477,25350,6,24800,4,23900,4,24000,7,26100,유지,,
711,현대썬앤빌강남,전세,23.24,"25,400",0,7,2014,봉은사로 477,서울특별시 강남구 봉은사로 477,서울특별시 강남구 삼성동 51-4,업무시설,오피스텔및근린생활시설,127.0524922,37.5130784,서울특별시 강남구 봉은사로 477,25400,9,24800,8,25000,4,24700,11,24500,유지,,
714,현대썬앤빌강남,전세,26.88,"32,950",0,14,2014,봉은사로 477,서울특별시 강남구 봉은사로 477,서울특별시 강남구 삼성동 51-4,업무시설,오피스텔및근린생활시설,127.0524922,37.5130784,서울특별시 강남구 봉은사로 477,32950,6,25900,14,28200,5,26200,12,27100,유지,,
771,강남 지웰파인즈,전세,22.91,"17,000",0,6,2016,헌릉로569길 9,서울특별시 강남구 헌릉로569길 9,서울특별시 강남구 세곡동 587,업무시설," 업무시설,근린생활시설,교육연구시설 ",127.1007819,37.4667902,서울특별시 강남구 헌릉로569길 9,17000,5,18200,7,19500,4,21000,4,20800,유지,,
774,강남 지웰파인즈,전세,24.66,"19,950",0,4,2016,헌릉로569길 9,서울특별시 강남구 헌릉로569길 9,서울특별시 강남구 세곡동 587,업무시설," 업무시설,근린생활시설,교육연구시설 ",127.1007819,37.4667902,서울특별시 강남구 헌릉로569길 9,19950,7,19700,4,20600,4,21500,7,21300,유지,,
793,강남 지웰파인즈,전세,38.36,"33,700",0,5,2016,헌릉로569길 9,서울특별시 강남구 헌릉로569길 9,서울특별시 강남구 세곡동 587,업무시설," 업무시설,근린생활시설,교육연구시설 ",127.1007819,37.4667902,서울특별시 강남구 헌릉로569길 9,33700,8,30600,6,29600,6,29800,6,35500,유지,,
